nom_chaine,video_ID,video_titre,date_publi,delta_jour,duree_live,total_don,nbr_don,mean_don,mean_don_heure,nbr_view,nbr_like,nbr_com_live
Thoomas,CnYzPC7j9Gk,[REDIFF] ÉVÉNEMENT DEADPOOL : On cherche des SECRETS sur Fortnite !,2020-04-08,716,6136.0,145.63,42,3.47,85.44,51346,6676,89
Thoomas,-5M1KxAi_3A,LA FIN DU TROU NOIR & LANCEMENT DU CHAPITRE 2 de FORTNITE !,2019-10-14,893,13370.0,,66,,,552390,26738,129
Thoomas,0z6wltc7yb0,Je débloque l'EMOTE GRATUITE de Ariana Grande ! (Fortnite),2021-08-09,228,7903.0,6.99,2,3.5,3.18,30811,2061,28
Thoomas,tGGj5YF1SK4,ÉVÉNEMENT : FIN & LANCEMENT DU CHAPITRE 2 de FORTNITE !,2019-10-13,894,23155.0,72.39,21,3.45,11.25,288868,11578,62
Thoomas,ZojxYyiFdxY,[REDIFF] UNE MÉTÉORITE S'APPROCHE (ÉVÉNEMENT) sur Fortnite !,2020-04-18,706,6850.0,306.28,51,6.01,160.96,99960,10355,373
Thoomas,8tYWENyjrTs,On fait un max de TOP sur la SAISON 8 de Fortnite ! (LIVE FR),2021-09-15,191,8660.0,14.99,2,7.5,6.23,11563,969,9
Thoomas,FhzPzyvpvhs,🔴 ÉVÉNEMENT DE POLAR PEAK EN DIRECT SUR FORTNITE ! live fr,2019-06-01,1028,4847.0,21.72,5,4.34,16.13,61773,4355,61
Thoomas,W4Law4Idfwo,🔴 FORTNITE SAISON 9 ! J'ACHÈTE TOUT LE PASSE DE COMBAT ! live fortnite fr,2019-05-09,1051,3187.0,1.7,2,0.85,1.92,32545,1543,38
Thoomas,PP5ybU-gqaM,"🔴 Découverte de la SAISON 4 sur Fortnite ! (passe de combat, skins Marvel, map)",2020-08-27,575,8958.0,20.84,12,1.74,8.38,77017,8719,281
Thoomas,GuHsoT3_mDc,🔴 ÉVÉNEMENT : LE CUBE EST DE RETOUR sur FORTNITE !!,2019-09-20,917,9104.0,15.26,11,1.39,6.03,34841,4181,5
Thoomas,Xm28fgTt48s,[Rediff] Un ÉVÉNEMENT avant la SAISON 6 sur Fortnite ?,2021-03-04,386,7953.0,11.0,2,5.5,4.98,21017,2003,33
Thoomas,JhuCjHTwdqY,PARTIE PERSO AVEC LES ABONNÉS SUR FORTNITE ! VENEZ LES POTES !,2019-02-10,1139,6561.0,8.99,6,1.5,4.93,50976,2713,27
Thoomas,zA36ZiSMr0c,"NOUVEAU SKIN ""C.I.B.L.E."" DISPO ! DÉFIS SEMAINE 7 SUR FORTNITE !",2018-11-08,1233,12915.0,8.28,5,1.66,2.31,40091,1786,35
Thoomas,0QGunv2e2tI,[REDIFF] ÉVÉNEMENT à L'AGENCE & CADEAUX GRATUITS sur Fortnite !,2020-04-13,711,8578.0,204.61,63,3.25,85.87,110709,13959,303
Thoomas,FBGC0PHcAwc,ON ATTEND LE CONCERT DE MARSHMELLO SUR FORTNITE ! (ÉVÉNEMENT),2019-02-02,1147,2865.0,22.79,11,2.07,28.64,74133,3937,52
Thoomas,avqKpY3ONDk,[REDIFF] ÉVÉNEMENT GALACTUS SAISON 4 FORTNITE !,2020-12-01,479,9071.0,8.0,3,2.67,3.17,61239,6253,38
Thoomas,97W0HdEJAjQ,LA MAP va CHANGER ? (DERNIER CONCERT de TRAVIS SCOTT) sur Fortnite !,2020-04-25,699,7057.0,27.43,13,2.11,13.99,156458,15892,803
Les Bons Profs,w5VRQ7dAobo,INTÉGRER UNE ÉCOLE D'INGÉNIEUR - Le live de Clark,2022-03-09,16,6121.0,0,0,0,0.0,2499,69,1
Les Bons Profs,pvr-u7ASbN4,LES ÉTUDES D'ART ET DE DESIGN - Le live de Clark,2022-02-16,37,5083.0,0,0,0,0.0,2680,75,2
Les Bons Profs,OfHKp-r8oqw,ANALYSER UN TEXTE ARGUMENTATIF,2022-01-11,73,3534.0,0,0,0,0.0,2694,73,5
Les Bons Profs,1x9Krm6QHEs,ANALYSER UN TEXTE ARGUMENTATIF,2022-01-11,73,277.0,0,0,0,0.0,890,18,3
Les Bons Profs,hSeHtweLSjs,ANALYSER UN TEXTE ARGUMENTATIF,2022-01-11,73,1453.0,0,0,0,0.0,1686,56,0
Les Bons Profs,OKaHzSaNyoQ,LIVE : tout savoir sur la réforme du lycée (général),2019-09-25,912,1650.0,0,0,0,0.0,8642,346,24
Capitaine Kirk,SdGTLxOJr7g,LA CHASSE AU TRÉSOR ! | SEA OF THIEVES #02,2018-09-02,1300,5894.0,1.0,1,1.0,0.61,48855,2203,67
Capitaine Kirk,UVMP8jI0TYY,UN IMMENSE HOTEL DE LUXE DANS MINECRAFT !,2018-10-14,1258,7817.0,0,0,0,0.0,29209,1988,33
Capitaine Kirk,d7CfI1ZR9jA,L'AVENTURE COMMENCE ! | PALADIUM S5 #01 !,2018-08-13,1320,7509.0,2.0,1,2.0,0.96,75651,3427,176
Capitaine Kirk,jz9MJbPCgU4,UN INCROYABLE CINEMA ULTRA RÉALISTE DANS MINECRAFT !,2018-10-06,1266,4244.0,0,0,0,0.0,147860,5412,163
Capitaine Kirk,ofd9vAdC91M,LA GRANDE AVENTURE SURVIE MINECRAFT ! #01,2019-07-08,991,7458.0,16.0,5,3.2,7.72,431860,14921,458
Oxilac,MRq9odHO2KI,J'AI GRAVE AVANCÉ !!,2018-11-25,1216,11619.0,30.0,8,3.75,9.3,23208,1709,59
Oxilac,0Ki7FJIjAII,INCROYABLE LIVE D'OXIMODS SAISON 10 !!,2018-10-22,1250,5798.0,149.34,28,5.33,92.73,77253,6287,545
Oxilac,v8nBEv5nOlU,TOP 1 EN SQUAD AVEC IONIX !!,2018-03-08,1478,3992.0,56.4,11,5.13,50.86,39301,2744,110
Oxilac,zMrC0BWGBbc,JE SERAIS LE MEILLEUR DRESSEUR !! Pokemon let's go Pikachu,2018-11-22,1219,18264.0,210.28,16,13.14,41.45,38410,2001,125
Oxilac,jf9Nm2jnDZQ,JE DÉCORE MA BASE AVEC VOUS !!,2018-07-31,1333,3690.0,13.96,7,1.99,13.62,56206,6007,223
Oxilac,Sya5UhFfQiY,LIVE OXILAC 1 MILLION D'ABONNÉS !!,2020-12-18,462,7426.0,486.34,24,20.26,235.77,72736,6947,234
Oxilac,lXgFyZPtruk,INCROYABLE LIVE DE L'AVENTURE MODÉE !!,2019-04-15,1075,9192.0,73.25,16,4.58,28.69,97713,4001,198
Oxilac,bU04anmxHMo,20 VS 20 GROS BORDEL !! Fortnite,2018-03-08,1478,3450.0,17.0,4,4.25,17.74,67653,4595,237
Oxilac,f3Nn7X90eJ8,MON PREMIER PILLAGE EN PVP FACTION SUR FROZENIA !!,2018-07-25,1339,2668.0,5.5,5,1.1,7.42,116370,6602,429
Oxilac,t0WiAOICEBk,JE DÉCOUVRE UN NOUVEAU MINERAIS DE DINGUE !! Astroneer,2019-04-02,1088,8926.0,43.41,21,2.07,17.51,36679,2273,47
Oxilac,K5OfgC7Q15E,PILLAGE DE MA BASE EN LIVE !! PvP Faction Frozenia,2019-04-08,1082,5640.0,28.91,6,4.82,18.45,33555,1692,55
Oxilac,D8zAnKslmQk,SURVIVRE SUR UNE PLANÈTE GÉANTE DANS MINECRAFT !!,2020-04-12,712,9499.0,379.49,113,3.36,143.82,404235,17836,913
Emmy,RuXM1rseNtg,HISTOIRES PARANORMALES * GRIFFÉ PAR UN ESPRIT *,2020-10-31,510,2804.0,0,0,0,0.0,43971,1874,94
Les Vidéos de Riles,bSKljDt6UJ0,J'AI MESSI !,2018-10-27,1245,1483.0,4.58,2,2.29,11.12,52952,2337,174
