,display_name,Crowdfunding,Lien,Don,Nb Tipers,Temps
35,Absol Human,['tipeee'],https://www.tipeee.com/absol-videos,€79,36,2022-04-18 20:24:33.049899
36,Oxem RPG,['tipeee'],https://fr.tipeee.com/oxem,81 €,7,2022-04-18 20:24:39.846439
37,Charlotte Hoefman,['tipeee'],https://fr.tipeee.com/charlotte-hoefman,352 €,30,2022-04-18 20:24:45.830480
38,Le Bizarreum,['tipeee'],https://fr.tipeee.com/le-bizarreum1,67 €,14,2022-04-18 20:24:51.782818
39,French Wargame Studio,['tipeee'],https://www.tipeee.com/french-wargame-studio,[],"1,208",2022-04-18 20:24:59.107400
40,GLG video,['tipeee'],https://www.tipeee.com/jt-geek-china,€104,29,2022-04-18 20:25:04.938713
41,Azrox Officiel,['tipeee'],https://en.tipeee.com/azrox,€0,0,2022-04-18 20:25:11.124182
42,Chat,['tipeee'],http://www.tipeee.com/chat,[],104,2022-04-18 20:25:17.582713
43,Gautier Veltri,['tipeee'],https://fr.tipeee.com/gautier-veltri,29 €,6,2022-04-18 20:25:23.592610
44,Mon Sport,['tipeee'],https://fr.tipeee.com/monsport,0 €,0,2022-04-18 20:25:29.203468
45,Long Range by The Choucroute Garage,['tipeee'],https://fr.tipeee.com/the-choucroute-garage/,155 €,31,2022-04-18 20:25:34.921909
46,Christopher Lannes,['tipeee'],https://www.tipeee.com/clannes,€9,3,2022-04-18 20:25:43.709578
47,Docteur Wrestling,['tipeee'],https://fr.tipeee.com/docteur-wrestling,0 €,0,2022-04-18 20:25:50.156036
48,Paf LeGeek,['tipeee'],https://www.tipeee.com/paf-legeek,€0,0,2022-04-18 20:25:57.703490
49,Le Chuchoteur ASMR,['tipeee'],https://www.tipeee.com/lechuchoteurasmr,€505,32,2022-04-18 20:26:04.676083
50,Le Petit Braquet,['tipeee'],https://fr.tipeee.com/le-petit-braquet,0 €,0,2022-04-18 20:26:10.487507
51,Oxem Mobile,['tipeee'],https://fr.tipeee.com/oxem,81 €,7,2022-04-18 20:26:17.377690
52,la chaine de matt,['tipeee'],https://fr.tipeee.com/la-chaine-de-matt,0 €,0,2022-04-18 20:26:24.110631
53,• Anima Equi •,['tipeee'],https://www.tipeee.com/anima-equi,€5,1,2022-04-18 20:26:31.223793
54,Nemellia,['tipeee'],https://www.tipeee.com/nemellia,[],[],2022-04-18 20:26:37.889338
55,Sunday,['tipeee'],https://www.tipeee.com/detectivesunday​,€1,1,2022-04-18 20:26:45.714068
56,Les Tabliers Ronds,['tipeee'],https://fr.tipeee.com/les-tabliers-ronds,15 €,2,2022-04-18 20:26:52.912665
57,FranckConnection,['tipeee'],https://www.tipeee.com/qte,€11,2,2022-04-18 20:27:00.384108
58,Kat,['tipeee'],https://fr.tipeee.com/kat,0 €,0,2022-04-18 20:27:09.112137
59,M1ck3y 2.0,['tipeee'],https://fr.tipeee.com/mickey_mafia,0 €,0,2022-04-18 20:27:15.663523
60,NowSprings,['tipeee'],https://fr.tipeee.com/nowsprings,[],1,2022-04-18 20:27:21.741020
61,Le Serial Gamer,['tipeee'],https://fr.tipeee.com/le-serial-gamer,0 €,0,2022-04-18 20:27:28.491089
62,Concrètement Moi,['tipeee'],http://fr.tipeee.com/concretementmoi,2 €,1,2022-04-18 20:27:36.403323
63,L'instant Gaming,['tipeee'],https://www.tipeeestream.com/linstantgaming/donation,[],[],2022-04-18 20:27:42.666131
64,MIMAJIT,['tipeee'],https://www.tipeee.com/mimajit.,[],[],2022-04-18 20:27:49.114091
65,Megavolt de GameZik,['tipeee'],http://www.tipeee.com/gamezik,€0,0,2022-04-18 20:27:55.407431
66,COMPO PIANO,"['tipeee', 'tipeee']",https://fr.tipeee.com/compo-piano,0 €,0,2022-04-18 20:28:02.781644
67,COMPO PIANO,"['tipeee', 'tipeee']",https://fr.tipeee.com/compo-piano,0 €,0,2022-04-18 20:28:09.632112
68,La Magie des Moldus,['tipeee'],https://fr.tipeee.com/la-magie-des-moldus,0 €,0,2022-04-18 20:28:16.238350
69,PhœnixProduction,['tipeee'],https://www.tipeee.com/phoenixproduction,[],[],2022-04-18 20:28:26.088166
70,Rachou Off,['tipeee'],https://www.tipeeestream.com/rachouoff/donation,[],[],2022-04-18 20:28:32.446486
71,Falkanox,['tipeee'],https://fr.tipeee.com/je-dois-me-nourrir,0 €,0,2022-04-18 20:28:39.311092
72,Picoteen / Yoshinoo,"['tipeee', 'tipeee']",https://www.tipeee.com/picoteen-s-tipeee,€0,0,2022-04-18 20:28:53.727667
73,Tony et ses pensées,['tipeee'],https://fr.tipeee.com/tony-et-ses-pensees,[],[],2022-04-18 20:29:00.791184
