nom_chaine,video_ID,video_titre,date_publi,delta_jour,duree_live,total_don,nbr_don,mean_don,mean_don_heure,nbr_view,nbr_like,nbr_com_live
KINTO'UN,YRWPdNQrlq4,LIVE NOUVELLE MAJ 1000J ! METAL COOLER ZENKAI & PVP ! - Dragon ball Legends,2021-02-24,410,4618.0,0.0,0,0.0,0.0,7865,388,10
KINTO'UN,llcIZ7BsW2o,LIVE PVP ! NOUVEAU BROLY DBZ & METAL COOLER ZENKAI Demain - Dragon ball Legends,2021-02-23,411,5566.0,5.28,3,1.76,3.42,7920,320,1
KINTO'UN,dFttJvtCeok,LIVE PVP NOUVEAU BUUHAN & TICKET DU DÉSESPOIR !! - Dragon ball Legends,2021-02-20,414,5282.0,0.0,0,0.0,0.0,6766,335,10
KINTO'UN,WXHav36mJm0,"INVOCATIONS KID BUU LF, VEGETA NUMBER ONE ! - Dragon ball Legends",2021-02-17,417,3534.0,0.0,0,0.0,0.0,12088,838,32
KINTO'UN,NIcC-NBhskU,LIVE INVOCATIONS MIRAI GOHAN LF ! JE VEUX MIRAI & VB LF - Dragon ball Legends,2021-01-20,445,2746.0,6.29,3,2.1,8.25,10377,614,31
KINTO'UN,OU8YV0cmFH8,LIVE INVOCATIONS + 200 TICKETS LEGENDS FESTIVAL !! peut être PvP ! - Dragon Ball Legends,2020-12-04,492,3521.0,0.0,0,0.0,0.0,7232,350,10
KINTO'UN,RTBhfG6pM30,LIVE INVOCATIONS GOKU MIGATTE & JIREN ! - Dragon Ball Legends,2020-11-27,499,5998.0,2.29,1,2.29,1.37,29194,1952,94
KINTO'UN,NPUPqgae5po,LIVE INVO & PVP METAL COOLER ! TEAM LOE ! - DB Legends,2020-11-11,515,5827.0,3.49,1,3.49,2.16,10270,484,7
KINTO'UN,sjAnGUFebL4,LIVE DB LEGENDS INVOCATIONS & PVP teams fun !,2020-10-28,529,5102.0,39.46,5,7.89,27.84,11995,730,10
J'alimente ma santé,sRlGXYzfTRQ,Live Comprendre le PROFILAGE et les tempéraments,2022-02-12,57,3685.0,0.0,0,0.0,0.0,1303,42,1
J'alimente ma santé,V7_XERJjbws,COMMENT NE PLUS JAMAIS ÊTRE FATIGUÉ,2021-10-01,191,3227.0,0.0,0,0.0,0.0,1714,87,19
Max YME,6EwOi_E60QU,🔴 ON ÉCOUTE VOS PROJETS EN LIVE  | ft. @Florent Garcia @Le Campus Musique De Reda @Swan Vaude et HMV,2021-07-13,271,11305.0,5.0,1,5.0,1.59,20629,498,68
Max YME,X0VrfbVkKZE,Part.2 | On compose du TRVE HEAVY METAL,2019-07-27,988,4034.0,0.0,0,0.0,0.0,8193,119,25
Max YME,eQkaMlu-Jrs,Part. 1 | On compose du TRVE HEAVY METAL,2019-07-27,988,43221.0,4.29,2,2.15,0.36,17734,311,18
Max YME,XPyNLvT3dGo,ON COMPOSE DU BLACK METAL EN DIRECT,2019-04-15,1091,14016.0,0.0,0,0.0,0.0,26507,480,87
Max YME,IP_b9AxsST8,Je réponds à vos coms + spoil vidéos + CLASH HELLFEST ?,2018-12-13,1214,13220.0,0.0,0,0.0,0.0,17180,241,26
Max YME,lv-sK0xfsgY,Live 1 000 000  vues | Réponse à vos commentaires,2018-09-13,1305,12605.0,2.0,1,2.0,0.57,6074,97,6
Max YME,RA9rsUWhWsA,Live 10K abonnés | Réponse aux commentaires du VLOG HELLFEST + sondages + digressions diverses,2018-07-20,1360,18563.0,11.78,4,2.94,2.28,10668,217,45
Alex HDH,5DarDfrMdEo,Découverte De AC Valhalla L'aube du Ragnarok,2022-03-09,32,4091.0,0.0,0,0.0,0.0,854,31,1
Alex HDH,OGdNgIvebL8,Retour sur God Of War !,2022-03-01,40,8734.0,0.0,0,0.0,0.0,1291,55,1
Alex HDH,J76j8q7CBmQ,ELDEN RING | DÉCOUVERTE EN LIVE,2022-02-26,43,5431.0,0.0,0,0.0,0.0,481,14,0
Alex HDH,jw4t93yhGVQ,On Part Pour L'extension La Reine Sorcière,2022-02-23,46,9029.0,0.0,0,0.0,0.0,428,19,0
Alex HDH,s4a5MBOihYw,🔥 RAINBOW SIX EXTRACTION | DÉCOUVERTE EN LIVE AVEC @Assassin's Creed Central,2022-01-18,82,4766.0,0.0,0,0.0,0.0,613,27,1
Alex HDH,Op9B8lXTUcI,Assassin's Creed Valhalla ☠ Découverte Des River Raids,2021-02-17,417,8027.0,0.0,0,0.0,0.0,2843,87,5
Alex HDH,rSUCVbvo0-Q,Assassin's Creed Valhalla live découverte En avant-première,2020-11-07,519,14094.0,0.0,0,0.0,0.0,4709,122,11
Alex HDH,kHPRrt0Zwsc,Watch Dogs: Legion Découverte du jeu !,2020-10-27,530,4626.0,0.0,0,0.0,0.0,2122,70,1
Alex HDH,C5pSq92aHMA,"Vivons ensemble le live Playstation 5 (Prix, Date de Sortie, Jeux...)",2020-09-17,570,5035.0,0.0,0,0.0,0.0,1295,47,6
Alex HDH,lZo2QPkQXd8,Unboxing De Mon Nouveau Dual Screen IIYAMA Black Hawk,2019-02-22,1143,7671.0,0.0,0,0.0,0.0,13127,152,15
Alex HDH,xGf03ZDyjm8,On Découvre La Démo De Resident Evil 2,2019-01-11,1185,2199.0,0.0,0,0.0,0.0,738,24,2
Alex HDH,hk793CgaASA,Unboxing Et Montage De ma nouvelle Chaise Gaming AKRacing,2018-12-12,1215,4225.0,0.0,0,0.0,0.0,10385,75,12
Alex HDH,Yusu6wfjCdI,RED DEAD RÉDEMPTION  LES 2 PREMIÈRES HEURES DE JEU,2018-10-26,1262,7045.0,0.0,0,0.0,0.0,1912,44,1
RedEmption,HAGiaCQK9Co,Les 6 PIRES STARTERS dans la MÊME ÉQUIPE,2019-03-22,1115,10062.0,0.0,0,0.0,0.0,43625,832,52
DeBunKer des Etoiles,dzwZS5e7aQM,Conspi-actu #7 - Janvier 2022,2022-01-16,84,13420.0,5.0,1,5.0,1.34,28393,1135,424
DeBunKer des Etoiles,fe1R3B64ZAQ,Conspi-actu #6 - Décembre 2021,2021-12-12,119,11366.0,9.1,3,3.03,2.88,32228,1221,451
DeBunKer des Etoiles,u8_l_vblL8Q,Conspi-actu #5 - Octobre 2021,2021-10-10,182,9977.0,15.93,4,3.98,5.75,28803,1162,308
DeBunKer des Etoiles,Jq0W79rsbno,Conspi-actu #4 - Août 2021,2021-08-11,242,9092.0,28.41,6,4.74,11.25,28882,1336,644
DeBunKer des Etoiles,-tMbPfjaQL8,Conspi-actu #3 - Juillet 2021,2021-07-16,268,10654.0,0.0,0,0.0,0.0,26804,1321,579
DeBunKer des Etoiles,w_4y_X3qSkA,Conspi-actu #2 - Juin 2021,2021-06-02,312,8931.0,34.71,6,5.79,13.99,25474,1225,359
