nom_chaine,video_ID,video_titre,date_publi,delta_jour,duree_live,total_don,nbr_don,mean_don,mean_don_heure,nbr_view,nbr_like,nbr_com_live
Tourdepriere semeur TV,M4DWJhlN5q0,CULTE DE CÉLÉBRATION TPS I COMMENT ÊTRE GUÉRIS DANS SON ÂME I PASTEUR BIENVENU MANZIONI,2021-02-28,403,10626.0,826.02,35,23.6,279.85,2582,277.0,3
Tourdepriere semeur TV,jEHEnK1GY9U,LA DELIVRANCE PAR LA PAROLE I LE MYSTERE DES 10 VIERGES BY PROPHETESSE FRIDHA MANZIONI,2021-02-26,405,5836.0,1.09,1,1.09,0.67,3707,516.0,24
Tourdepriere semeur TV,4Yic4TZiQ9U,DECLARATION PROPHETIQUE I TA BÉNÉDICTION AU NOM DE JÉSUS CHRIST BY PASTEUR BIENVENU MANZIONI,2021-02-26,405,2978.0,245.97,23,10.69,297.34,1299,191.0,14
Tourdepriere semeur TV,lRgQANv9KOI,DEVANCER L'AURORE I LA PUISSANCE DU NOM DE JESUS  BY PASTEUR BIENVENU MANZIONI,2021-02-26,405,4874.0,14.97,2,7.49,11.06,2711,523.0,61
Tourdepriere semeur TV,DMZrSRBMs-8,LA GUERRE DE MINUIT I PRIERE POUR UN NETTOYAGE SPIRITUEL BY PROPHETESSE FRIDHA MANZIONI,2021-02-25,406,6095.0,102.61,13,7.89,60.61,8332,840.0,21
Tourdepriere semeur TV,SAC_tHP7Hrk,PRIERE DE PREPARATION AU RETOUR DU SEIGNEUR I PREPARE TOI BY PROPHETESSE FRIDHA MANZIONI,2021-02-25,406,3713.0,175.0,1,175.0,169.67,2167,323.0,3
Tourdepriere semeur TV,38AcF2CnBBs,DEVANCER L'AURORE I RELEVE MOI SEIGNEUR  BY PASTEUR BIENVENU MANZIONI,2021-02-25,406,4666.0,19.99,5,4.0,15.42,2641,480.0,26
Tourdepriere semeur TV,KvEuJqnzp_8,DEVANCER L'AURORE I  LE DIEU DE LA PROMESSE BY PROPHETESSE FRIDHA MANZIONI,2021-02-24,407,3421.0,20.1,4,5.03,21.15,3781,717.0,45
Tourdepriere semeur TV,PEsk-Q_KiiY,LA GUERRE DE MINUIT I DETRUIRE LES ESPRITS DE DESERT BY PROPHETESSE FRIDHA MANZIONI,2021-02-23,408,5878.0,67.8,9,7.53,41.52,4259,732.0,8
Tourdepriere semeur TV,WZSqCMgpY6s,PPRS I  ÊTRE PAUVRE EN ESPRIT BY PROPHETESSE FRIDHA MANZIONI,2021-02-23,408,3735.0,20.0,1,20.0,19.28,2061,386.0,9
Tourdepriere semeur TV,Kg3xv735FQM,DEVANCER L'AURORE I  LA MARCHE VERS LA GUERISON BY PASTEUR BIENVENU MANZIONI,2021-02-23,408,4044.0,7.0,3,2.33,6.23,2249,494.0,18
Tourdepriere semeur TV,d4l_P-lTFKY,"LA GUERRE DE MINUIT I  PRIERE, ANEANTIR LES OEUVRES DE LA SORCELLERIE BY PROPHETESSE FRIDHA MANZIONI",2021-02-22,409,6594.0,634.97,13,48.84,346.66,7293,789.0,14
Tourdepriere semeur TV,EPuP35bC8Y8,DEVANCER L'AURORE  I  FAIT UN VOEU A L 'ETERNEL BY PASTEUR BIENVENU MANZIONI,2021-02-22,409,4318.0,2.0,1,2.0,1.67,2489,475.0,18
Tourdepriere semeur TV,CHa4Mp02X8U,CULTE DE CELEBRATION 2I  FAITES CECI ET RECEVEZ LA GUERISON BY PROPHETESSE FRIDHA MANZIONI,2021-02-21,410,2112.0,50.0,1,50.0,85.23,1565,172.0,4
Tourdepriere semeur TV,UNXjnfkP_IE,CULTE DE CELEBRATION I  FAITES CECI ET RECEVEZ LA GUERISON BY PROPHETESSE FRIDHA MANZIONI,2021-02-21,410,7021.0,209.99,9,23.33,107.67,2575,253.0,5
Tourdepriere semeur TV,pHsiN0taStk,"DELIVRANCE PAR LA PAROLE  I  ACTES 4 , VOIS LEURS MENACES BY PROPHETESSE FRIDHA MANZIONI",2021-02-19,412,7673.0,141.82,13,10.91,66.54,3989,537.0,18
Tourdepriere semeur TV,LtiKLdiSWC8,DEVANCER L'AURORE  I  UNE BONNE JOURNEE BY PASTEUR BIENVENU MANZIONI,2021-02-19,412,5359.0,35.08,4,8.77,23.57,2951,539.0,46
Tourdepriere semeur TV,bECJRSBgn2E,LA GUERRE DE MINUIT I  DISPERSER LE COMPLOT DE LA SORCELLERIE BY PROPHETESSE FRIDHA MANZIONI,2021-02-18,413,6213.0,215.04,14,15.36,124.6,5917,700.0,18
Tourdepriere semeur TV,WSFWXtR_G0Y,"DEVANCER L'AURORE  I  MON BERGER , MON SEIGNEUR BY PASTEUR BIENVENU MANZIONI",2021-02-18,413,4670.0,2.0,1,2.0,1.54,3081,499.0,52
Tourdepriere semeur TV,w9-hcoJzqQg,DEVANCER L'AURORE I JESUS CHRIST MA GUERISON BY PROPH FRIDHA MANZIONI,2021-02-17,414,4822.0,19.1,3,6.37,14.26,3716,636.0,61
Tourdepriere semeur TV,-a86xk6vgAQ,LA GUERRE DE MINUIT I LA PRIERE QUI ANNULE L'AGENDA DE LA SORCELLERIE BY PROPH FRIDHA MANZIONI,2021-02-16,415,6426.0,326.0,36,9.06,182.63,6273,886.0,21
Tourdepriere semeur TV,999o7uv9LAQ,PPRS I PREPARATION AU RETOUR DU SEIGNEUR BY PROPH FRIDHA MANZIONI,2021-02-16,415,4729.0,38.89,5,7.78,29.61,2051,393.0,10
Tourdepriere semeur TV,0ylPR3xpP1A,DEVANCER L'AURORE  I  QUE LE SOLEIL DE LA JUSTICE SE LEVE BY PASTEUR BIENVENU MANZIONI,2021-02-16,415,4634.0,25.12,7,3.59,19.51,2664,534.0,31
